Observation time UTC,Data Source (station level pressure),Mean sea level pressure [Hpa],Station level pressure,Data Source (mean sea level pressure)
2003-10-29T03:00:00Z,H,1009.3,1001.5,H
2003-10-29T04:00:00Z,H,1009.2,1001.4,H
2003-10-29T05:00:00Z,H,1009.2,1001.4,H
2003-10-29T06:00:00Z,H,1009.8,1002,H
2003-10-29T07:00:00Z,H,1010.4,1002.5,H
2003-10-29T08:00:00Z,H,1011,1003.1,H
2003-10-29T09:00:00Z,H,1011.3,1003.4,H
2003-10-29T10:00:00Z,H,1011,1003,H
2003-10-29T11:00:00Z,H,1010.3,1002.3,H
2003-10-29T12:00:00Z,H,1010.4,1002.4,H
2003-10-29T13:00:00Z,H,1009.8,1001.8,H
2003-10-29T14:00:00Z,H,1009.7,1001.7,H
2003-10-29T15:00:00Z,H,1009.6,1001.6,H
2003-10-29T16:00:00Z,H,1009.1,1001.1,H
2003-10-29T17:00:00Z,H,1008.2,1000.3,H
2003-10-29T18:00:00Z,H,1008.2,1000.3,H
2003-10-29T19:00:00Z,H,1008.1,1000.2,H
2003-10-29T20:00:00Z,H,1007.9,1000.1,H
2003-10-29T21:00:00Z,H,1007.8,1000,H
2003-10-29T22:00:00Z,H,1007.3,999.5,H
2003-10-29T23:00:00Z,H,1006.3,998.5,H
2003-10-30T00:00:00Z,H,1005,997.2,H
2003-10-30T01:00:00Z,H,1004.5,996.7,H
2003-10-30T02:00:00Z,H,1003.5,995.8,H
2003-10-30T03:00:00Z,H,1003.2,995.5,H
2003-10-30T04:00:00Z,H,1003.6,995.9,H
2003-10-30T05:00:00Z,H,1004.4,996.6,H
2003-10-30T06:00:00Z,H,1005.4,997.6,H
2003-10-30T07:00:00Z,H,1006.2,998.4,H
2003-10-30T08:00:00Z,H,1007,999.2,H
2003-10-30T09:00:00Z,H,1007.6,999.7,H
2003-10-30T10:00:00Z,H,1007.6,999.7,H
2003-10-30T11:00:00Z,H,1008.1,1000.2,H
2003-10-30T12:00:00Z,H,1007.7,999.8,H
2003-10-30T13:00:00Z,H,1007.7,999.8,H
2003-10-30T14:00:00Z,H,1007.7,999.8,H
2003-10-30T15:00:00Z,H,1007.4,999.5,H
2003-10-30T16:00:00Z,H,1007.6,999.7,H
2003-10-30T17:00:00Z,H,1007.7,999.8,H
2003-10-30T18:00:00Z,H,1008.6,1000.7,H
2003-10-30T19:00:00Z,H,1008.8,1000.9,H
2003-10-30T20:00:00Z,H,1008.7,1000.9,H
2003-10-30T21:00:00Z,H,1008.6,1000.8,H
2003-10-30T22:00:00Z,H,1008.4,1000.6,H
2003-10-30T23:00:00Z,H,1008.3,1000.5,H
2003-10-31T00:00:00Z,H,1008.5,1000.7,H
2003-10-31T01:00:00Z,H,1008.2,1000.5,H
2003-10-31T02:00:00Z,H,1008.3,1000.5,H
2003-10-31T03:00:00Z,H,1008.2,1000.5,H
2003-10-31T04:00:00Z,H,1008.5,1000.7,H
2003-10-31T05:00:00Z,H,1009,1001.2,H
2003-10-31T06:00:00Z,H,1009.3,1001.5,H
2003-10-31T07:00:00Z,H,1009.9,1002,H
2003-10-31T08:00:00Z,H,1010.4,1002.5,H
2003-10-31T09:00:00Z,H,1011.1,1003.2,H
2003-10-31T10:00:00Z,H,1011.6,1003.7,H
2003-10-31T11:00:00Z,H,1011.6,1003.7,H
2003-10-31T12:00:00Z,H,1011.6,1003.6,H
2003-10-31T13:00:00Z,H,1011.5,1003.5,H
2003-10-31T14:00:00Z,H,1011.1,1003.1,H
2003-10-31T15:00:00Z,H,1011.2,1003.3,H
2003-10-31T16:00:00Z,H,1010.8,1002.9,H
2003-10-31T17:00:00Z,H,1010.8,1002.8,H
2003-10-31T18:00:00Z,H,1011.6,1003.7,H
2003-10-31T19:00:00Z,H,1011.9,1004,H
2003-10-31T20:00:00Z,H,1011.2,1003.4,H
2003-10-31T21:00:00Z,H,1011.7,1003.9,H
2003-10-31T22:00:00Z,H,1010.7,1002.9,H
2003-10-31T23:00:00Z,H,1009.9,1002.1,H
2003-11-01T00:00:00Z,H,1009,1001.3,H
2003-11-01T01:00:00Z,H,1008.4,1000.6,H
2003-11-01T02:00:00Z,H,1007.3,999.6,H
2003-11-01T03:00:00Z,H,1007,999.2,H
2003-11-01T04:00:00Z,H,1006.3,998.6,H
2003-11-01T05:00:00Z,H,1005.8,998,H
2003-11-01T06:00:00Z,H,1005.6,997.8,H
2003-11-01T07:00:00Z,H,1005.7,997.8,H
2003-11-01T08:00:00Z,H,1003.5,995.6,H
2003-11-01T09:00:00Z,H,1003.6,995.8,H
2003-11-01T10:00:00Z,H,1002.6,994.8,H
2003-11-01T11:00:00Z,H,1001.7,993.9,H
2003-11-01T12:00:00Z,H,1001,993.3,H
2003-11-01T13:00:00Z,H,999.7,992,H
2003-11-01T14:00:00Z,H,999.8,992,H
2003-11-01T15:00:00Z,H,1000.1,992.3,H
2003-11-01T16:00:00Z,H,999.7,991.9,H
2003-11-01T17:00:00Z,H,1000,992.2,H
2003-11-01T18:00:00Z,H,1000.4,992.6,H
2003-11-01T19:00:00Z,H,1001,993.2,H
2003-11-01T20:00:00Z,H,1001.4,993.7,H
2003-11-01T21:00:00Z,H,1001.8,994,H
2003-11-01T22:00:00Z,H,1001.9,994.2,H
2003-11-01T23:00:00Z,H,1002,994.3,H
2003-11-02T00:00:00Z,H,1002.5,994.8,H
2003-11-02T01:00:00Z,H,1002.7,995,H
2003-11-02T02:00:00Z,H,1003,995.3,H
2003-11-02T03:00:00Z,H,1002.8,995,H
2003-11-02T04:00:00Z,H,1002.9,995.1,H
2003-11-02T05:00:00Z,H,1003,995.2,H
2003-11-02T06:00:00Z,H,1003.7,995.9,H
2003-11-02T07:00:00Z,H,1004.4,996.6,H
2003-11-02T08:00:00Z,H,1005.2,997.4,H
2003-11-02T09:00:00Z,H,1006.1,998.2,H
2003-11-02T10:00:00Z,H,1006.5,998.6,H
2003-11-02T11:00:00Z,H,1006.1,998.2,H
2003-11-02T12:00:00Z,H,1006.3,998.4,H
2003-11-02T13:00:00Z,H,1006.4,998.5,H
2003-11-02T14:00:00Z,H,1005.6,997.7,H
2003-11-02T15:00:00Z,H,1005.6,997.7,H
2003-11-02T16:00:00Z,H,1005.6,997.7,H
2003-11-02T17:00:00Z,H,1005.6,997.7,H
2003-11-02T18:00:00Z,H,1006.1,998.2,H
2003-11-02T19:00:00Z,H,1006.2,998.3,H
2003-11-02T20:00:00Z,H,1006.1,998.3,H
2003-11-02T21:00:00Z,H,1005.9,998,H
2003-11-02T22:00:00Z,H,1006.1,998.2,H
2003-11-02T23:00:00Z,H,1006.4,998.5,H
2003-11-03T00:00:00Z,H,1006.2,998.3,H
2003-11-03T01:00:00Z,H,1005.6,997.8,H
2003-11-03T02:00:00Z,H,1005.1,997.3,H
2003-11-03T03:00:00Z,H,1005.2,997.4,H
2003-11-03T04:00:00Z,H,1005.2,997.4,H
2003-11-03T05:00:00Z,H,1005.8,997.9,H
2003-11-03T06:00:00Z,H,1006.6,998.7,H
2003-11-03T07:00:00Z,H,1007.6,999.7,H
2003-11-03T08:00:00Z,H,1008.4,1000.5,H
2003-11-03T09:00:00Z,H,1009.1,1001.2,H
2003-11-03T10:00:00Z,H,1009.2,1001.3,H
2003-11-03T11:00:00Z,H,1009.5,1001.6,H
2003-11-03T12:00:00Z,H,1010.1,1002.1,H
2003-11-03T13:00:00Z,H,1010,1002,H
2003-11-03T14:00:00Z,H,1009.9,1001.9,H
2003-11-03T15:00:00Z,H,1009.8,1001.9,H
2003-11-03T16:00:00Z,H,1010.1,1002.2,H
2003-11-03T17:00:00Z,H,1010.2,1002.3,H
2003-11-03T18:00:00Z,H,1010.6,1002.7,H
2003-11-03T19:00:00Z,H,1010.8,1002.9,H
2003-11-03T20:00:00Z,H,1011.2,1003.3,H
2003-11-03T21:00:00Z,H,1012,1004.1,H
2003-11-03T22:00:00Z,H,1012.5,1004.6,H
2003-11-03T23:00:00Z,H,1012.4,1004.5,H
2003-11-04T00:00:00Z,H,1013,1005.1,H
2003-11-04T01:00:00Z,H,1013.3,1005.4,H
2003-11-04T02:00:00Z,H,1013.9,1006,H
2003-11-04T03:00:00Z,H,1014.1,1006.2,H
2003-11-04T04:00:00Z,H,1014.6,1006.7,H
2003-11-04T05:00:00Z,H,1015.3,1007.4,H
2003-11-04T06:00:00Z,H,1016.3,1008.3,H
2003-11-04T07:00:00Z,H,1017.4,1009.4,H
2003-11-04T08:00:00Z,H,1018.3,1010.3,H
2003-11-04T09:00:00Z,H,1019.2,1011.2,H
2003-11-04T10:00:00Z,H,1019.7,1011.7,H
2003-11-04T11:00:00Z,H,1020.3,1012.3,H
2003-11-04T12:00:00Z,H,1020.9,1012.8,H
2003-11-04T13:00:00Z,H,1021,1013,H
2003-11-04T14:00:00Z,H,1021.2,1013.2,H
2003-11-04T15:00:00Z,H,1021.6,1013.5,H
2003-11-04T16:00:00Z,H,1021.9,1013.8,H
2003-11-04T17:00:00Z,H,1022.6,1014.5,H
2003-11-04T18:00:00Z,H,1023.1,1015.1,H
2003-11-04T19:00:00Z,H,1023.8,1015.8,H
2003-11-04T20:00:00Z,H,1024.4,1016.4,H
2003-11-04T21:00:00Z,H,1024.7,1016.7,H
2003-11-04T22:00:00Z,H,1025.1,1017.1,H
2003-11-04T23:00:00Z,H,1024.8,1016.8,H
2003-11-05T00:00:00Z,H,1024.9,1016.9,H
2003-11-05T01:00:00Z,H,1025.3,1017.4,H
2003-11-05T02:00:00Z,H,1025.1,1017.2,H
2003-11-05T03:00:00Z,H,1024.9,1016.9,H
2003-11-05T04:00:00Z,H,1025.2,1017.2,H
2003-11-05T05:00:00Z,H,1025.4,1017.4,H
2003-11-05T06:00:00Z,H,1025.9,1017.9,H
